income_class,Amount
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,65412.72
Cross Sell,83253.18
Cross Sell,83253.18
Cross Sell,83253.18
Cross Sell,83253.18
Cross Sell,83253.18
Cross Sell,112986.38
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,101037
Cross Sell,16455
Cross Sell,0
Cross Sell,11360
Cross Sell,67102
Cross Sell,0
Cross Sell,120474.73
Cross Sell,120474.73
Cross Sell,153332.03
Cross Sell,153332.03
Cross Sell,153332.03
Cross Sell,153332.03
Cross Sell,153332.03
Cross Sell,208093.46
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,0
Renewal,8107.49
Cross Sell,19113.41
Renewal,12055.25
Renewal,484.75
Renewal,109.88
Renewal,27069
Cross Sell,66556.88
Cross Sell,40959.63
Cross Sell,8263.94
Cross Sell,0
Cross Sell,67102.13
Renewal,90663.25
Cross Sell,90663.25
Renewal,8854.88
Renewal,7187.34
Renewal,0
Cross Sell,121755.9
Cross Sell,96758.81
Renewal,149758.53
Cross Sell,9277.1
Cross Sell,16533.25
Cross Sell,15408.4
Cross Sell,56757.75
Renewal,60229.25
Renewal,21358.38
Cross Sell,10937.5
Cross Sell,16474.5
Cross Sell,10776.25
Cross Sell,61042.25
Cross Sell,15601.02
Cross Sell,7000
Renewal,21000
Cross Sell,28069.13
New,72675
New,72675
Renewal,23771.05
Renewal,21399.44
Renewal,23100.17
Renewal,1113.92
Cross Sell,65000
Cross Sell,2077.5
Cross Sell,1566.2
Cross Sell,639.25
Cross Sell,1180.88
Cross Sell,1558.76
Cross Sell,59375
Cross Sell,56150.75
Cross Sell,3132.5
Cross Sell,30978.63
Cross Sell,17934.88
Cross Sell,15668.25
Cross Sell,11239.38
Renewal,11239.38
Cross Sell,21442.38
Cross Sell,21442.75
Cross Sell,21442.75
Cross Sell,21442.75
Cross Sell,27085.5
Cross Sell,17949.04
Cross Sell,17949.04
Cross Sell,17949.04
Cross Sell,17949.04
Cross Sell,22672.47
Cross Sell,11239.38
Cross Sell,2212.38
Cross Sell,1363
Cross Sell,157.5
Cross Sell,1749.45
Renewal,6250
Renewal,8125
Cross Sell,2788.75
New,7827.77
New,0
New,4194.8
Cross Sell,1390.13
Cross Sell,1390.13
Cross Sell,7835.19
Cross Sell,7782.56
Cross Sell,3007.5
Cross Sell,26804.5
Renewal,1771.98
Renewal,681.53
Renewal,272.61
Renewal,4175.36
Renewal,1605.91
Renewal,642.36
Renewal,23863.13
Renewal,9178.13
Renewal,3671.25
Renewal,157.14
Renewal,60.44
Renewal,24.17
Renewal,23753.44
Renewal,9135.94
Renewal,3654.37
Renewal,445.18
Renewal,1598.68
Renewal,614.88
Renewal,245.95
Renewal,2077.51
Renewal,445.18
Renewal,33484.34
Renewal,109812.12
Renewal,12084.5
New,51965.88
Cross Sell,25619.25
Cross Sell,25598
Cross Sell,25598
New,12643.38
Cross Sell,25598
Renewal,1474120.36
Renewal,
Renewal,34349.81
Renewal,51883.58
Renewal,15963.92
Renewal,0
Renewal,956.34
New,5416.62
New,6195.75
Cross Sell,518.13
Cross Sell,2767.5
Cross Sell,8198.25
New,9075
New,9075
Cross Sell,521.25
New,7889.31
Renewal,90307.75
Renewal,114751.5
Renewal,52751.13
Renewal,53125
Renewal,359.13
Renewal,0
Renewal,0
Renewal,0
Renewal,23387.4
Renewal,914998.58
Renewal,93906.08
Renewal,27435
Renewal,32391.85
Renewal,9941.16
Renewal,27681.48
Renewal,18901.02
Renewal,46994.85
Renewal,17139.5
Renewal,8560.86
Renewal,1288.66
Renewal,1208.38
Renewal,18696.68
Renewal,49788.75
Renewal,49026.75
Renewal,1613.78
Renewal,49026.66
Renewal,8117.5
Renewal,21614.86
Renewal,60990.71
Renewal,423.9
Renewal,105.98
Renewal,1897.66
Renewal,474.42
Renewal,44063.25
Cross Sell,16387.5
Renewal,15899.07
Renewal,3974.77
Renewal,6120.48
Renewal,1530.12
Renewal,32171.2
Renewal,8042.8
Renewal,2925
Renewal,731.25
Renewal,627
Renewal,156.75
Renewal,1186
Renewal,465.9
Renewal,116.48
Renewal,3456.13
Renewal,0
Renewal,976.81
Renewal,26250
Renewal,22245.75
Renewal,3346.95
Renewal,0
Renewal,0
Renewal,19910.88
Renewal,2139.63
Renewal,20814.38
Renewal,126225
Renewal,63112.5
Renewal,148500
Renewal,39762.71
Cross Sell,28050
Cross Sell,56100
Cross Sell,56100
Cross Sell,14025
Cross Sell,14025
Renewal,59851.63
Renewal,74250
Renewal,68125
New,117812.5
Renewal,115625
Renewal,10427
Renewal,2930.9
Renewal,6213.24
Renewal,1772.75
Renewal,2970
Renewal,5610
Renewal,1980
Renewal,3861.25
Renewal,13036.5
Renewal,8194.25
Renewal,8580
Renewal,4579
Renewal,3330
Renewal,8625.38
Cross Sell,150.65
New,115173.38
Cross Sell,825
Renewal,20625
Cross Sell,2598.75
Cross Sell,693
Cross Sell,357.06
Renewal,41625
Renewal,41625
Renewal,124875
Renewal,42900
Renewal,52800
Renewal,44130.41
Renewal,156000
Renewal,5253.23
Renewal,6769.65
Renewal,8961.98
Renewal,64155.3
Renewal,5404.95
Renewal,5550
Renewal,18750
Cross Sell,74250
Renewal,48652.25
Cross Sell,1501.88
Cross Sell,21157.34
Cross Sell,12019.2
Renewal,7324.12
Renewal,19316.67
Renewal,23115.2
Renewal,25336.44
Renewal,12699.7
Renewal,
Renewal,177405.38
Renewal,
Renewal,
Renewal,
Cross Sell,63872.4
Cross Sell,
Renewal,11111.4
Renewal,329250
Renewal,10772.33
Renewal,9283.05
Renewal,6903.45
Renewal,399.23
Renewal,6259.35
Renewal,7110.45
Renewal,5501.03
Renewal,24311.1
Renewal,42416.75
